nID;sName;nID_ServiceData;nID_SubjectOrganDepartment;sID_BP
1;Test;1;1;_test_dnepr_mvd-1_auto
2;МРЕО,Киев,Петропавлівська Борщагівка, вул.Кільцева 4;311;2;common_mreo_1
3;МРЕО,м.Дніпропетровськ узвіз Тольятті, 2;311;10;common_mreo_1
4;ДМС, Днепр, Поля 1;63;11;dnepr_dms_passport
5;МРЕО,Киев,вул. Туполєва, 19;311;3;common_mreo_1
6;МРЕО,Киев,вул. Велика кільцева дорога. 22-А;311;4;common_mreo_1
7;МРЕО,Киев,вул. Братиславська, 52;311;5;common_mreo_1
8;МРЕО,Киев,вул. Столичне шосе, 104;311;6;common_mreo_1
9;МРЕО,Киев,вул. Павла Усенка, 8;311;7;common_mreo_1
10;МРЕО,Киев,вул. Новокостянтинівська, 8;311;8;common_mreo_1
11;МРЕО,Киев,пров. Балтійський, 20;311;9;common_mreo_1
12;_test_queue_cancel;358;1;_test_queue_cancel
13;ДМС, Днепр, пр. Ильича, 3;125;13;dnepr_dms-89
14;ДМС, Днепр, пр. Ильича, 3;126;13;dnepr_dms-89s
15;МРЕО,м.Дніпропетровськ вул. Маліновського, 130;311;12;common_mreo_1
16;ДМС, Житомир, вул. Пушкінська, 44;394;1;zhytomyr_dms_passport
17;ДМС, Днепр, вул. Шевченко, 7;125;14;dnepr_dms-89
18;ДМС, Днепр, вул. Шевченко, 7;126;14;dnepr_dms-89s
19;МВК, Скадовск;645;33;scadovsk_mvk-302
20;ДМС, Днепр, Ильича 3;63;16;dnepr_dms_passport
21;ДМС, Днепр, Аверина 57;63;17;dnepr_dms_passport
22;ДМС, Днепр, Красная 2-а;63;18;dnepr_dms_passport
23;ДМС, Кривой Рог, Октябрьская 12-в;63;19;dnepr_dms_passport
24;ДМС, Днепродзержинск, Коммунарная 10-а;63;20;dnepr_dms_passport
25;ДМС, Никополь, Никитинская 5 ;63;21;dnepr_dms_passport
26;ДМС, Павлоград, Восстания 77-а;63;22;dnepr_dms_passport
27;ДМС, Днепр, вул. Кожем’яки, 17;125;23;dnepr_dms-89
28;ДМС, Днепр, вул. Кожем’яки, 17;126;23;dnepr_dms-89s
29;ДМС, Днепр, вул. Янтарна, 75-а;125;24;dnepr_dms-89
30;ДМС, Днепр, вул. Янтарна, 75-а;126;24;dnepr_dms-89s
31;ДМС, Днепр, вул. Плеханова, 34;125;25;dnepr_dms-89
32;ДМС, Днепр, вул. Плеханова, 34;126;25;dnepr_dms-89s
33;ДМС, Днепр, вул. Робоча, 22а;125;26;dnepr_dms-89
34;ДМС, Днепр, вул. Робоча, 22а;126;26;dnepr_dms-89s
35;ДМС, Днепр, вул. Аверіна, 57;125;27;dnepr_dms-89
36;ДМС, Днепр, вул. Аверіна, 57;126;27;dnepr_dms-89s
37;ДМС, Днепр, вул. Космонавтів, 4;125;28;dnepr_dms-89
38;ДМС, Днепр, вул. Космонавтів, 4;126;28;dnepr_dms-89s
39;ДМС, Днепр, пр. Ильича, 3;448;13;dnepr_dms-205
40;ДМС, Днепр, пр. Ильича, 3;452;13;dnepr_dms-212
41;ДМС, Днепр, пр. Ильича, 3;468;13;dnepr_dms-227
42;ДМС, ДнДз, вул. Беспалова, 2А;497;29;dnepr_dms-89Dn
