sID;Address;WorkTime
1;м.Дніпропетровськ узвіз Тольятті, 2; Понеділок - П’ятниця з 9:00 до 18:00 <br />(перерва з  13:00 до 14:00) <br /> Субота з 9:00 до 14:00 <br /> Неділя вихідний <br />
2;м.Дніпропетровськ вул. Маліновського, 130; Понеділок - П’ятниця з 9:00 до 18:00 <br />(перерва з  13:00 до 14:00)<br />
3;м.Київ Петропавлівська Борщагівка, вул.Кільцева 4;Вівторок - П’ятниця з 9:00 до 18:00 <br /> Субота з 9:00 до 16:45, <br />перерва з  13:00 до 13:45<br />
4;м.Київ вул. Туполєва, 19; Понеділок 10.00-13.00 <br />Вівторок з 9:00 до 18:00 <br />Середа 09.00-18.00 <br />Четверг 09.00-18.00 <br />П’ятниця 09.00-18.00 <br />Субота 09.00-16.00 <br />Неділя вихідний <br />обідня перерва  у робочі дні 3 13.00 до 13.45 <br />понеділок субота без обідньої перерви<br /> 
5;м.Київ вул. Велика кільцева дорога. 22-А;Понеділок вихідний <br />Вівторок 09.00-18.00<br />Середа 09.00-18.00<br />Четверг 09.00-18.00<br />П’ятниця 09.00-18.00<br />Субота 09.00-16.00<br />Неділя вихідний<br />обідня перерва  у робочі дні 3 13.00 до 13.45<br />субота без обідньої перерви<br />
6;м.Київ вул. Братиславська, 52;Понеділок вихідний <br />Вівторок 09.00-18.00<br />Середа 09.00-18.00<br />Четверг 09.00-18.00<br />П’ятниця 09.00-18.00<br />Субота 09.00-16.00<br />Неділя вихідний<br />обідня перерва  у робочі дні 3 13.00 до 13.45<br />субота без обідньої перерви<br />
7;м.Київ вул. Столичне шосе, 104;Понеділок вихідний<br />Вівторок 09.00-1800<br />Середа 09.00-18.00<br />Четверг 09.00-18.00<br />П’ятниця 09.00-18.00<br />Субота 09.00-16.00<br />Неділя 10.00-13.00<br />обідня перерва  у робочі дні 3 13.00 до 13.45<br />субота, неділя без обідньої перерви<br />
8;м.Київ вул. Павла Усенка, 8;Понеділок вихідний <br />Вівторок 09.00-18.00<br />Середа 09.00-18.00<br />Четверг 09.00-18.00<br />П’ятниця 09.00-18.00<br />Субота 09.00-16.00<br />Неділя вихідний<br />обідня перерва  у робочі дні 3 13.00 до 13.45<br />субота без обідньої перерви<br />
9;м.Київ вул. Новокостянтинівська, 8;Понеділок вихідний <br />Вівторок 09.00-18.00<br />Середа 09.00-18.00<br />Четверг 09.00-18.00<br />П’ятниця 09.00-18.00<br />Субота 09.00-16.00<br />Неділя вихідний<br />обідня перерва  у робочі дні 3 13.00 до 13.45<br />субота без обідньої перерви<br />
10;м.Київ пров. Балтійський, 20;Понеділок вихідний <br />Вівторок 09.00-18.00<br />Середа 09.00-18.00<br />Четверг 09.00-18.00<br />П’ятниця 09.00-18.00<br />Субота 09.00-16.00<br />Неділя вихідний<br />обідня перерва  у робочі дні 3 13.00 до 13.45<br />субота без обідньої перерви<br />
