sID(1);CNAP Name(2);CNAP Address(3);WorkTime(4);phone(5)
1;ЦНАП Городищенської РДА;19500, Черкаська обл., м.Городище, вул. Миру,118;<p>Понеділок, середа, п'ятниця з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (04734) 2-01-82
2;ЦНАП Драбівської РДА;19800, Черкаська обл., смт Драбів, вул. Леніна, 69;<p>Понеділок, середа з 8.00 до 17.00<br />Вівторок, четвер з 9.00 до 20.00<br />П'ятниця з 8.00 до 16.00<br />Субота з 9.00 до 16.00<br />Вихідний - Неділя</p>;Телефон: (04738)-3-05-81
3;ЦНАП Жашківської РДА;19200, Черкаська обл., м.Жашків, вул. Костромська, 19;<p>Понеділок, середа з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця з 8.00 до 16.00<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (04747) 6-11-72
4;ЦНАП Звенигородської РДА;20200, Черкаська обл., м.Звенигородка, вул.Енгельса,156;<p>Понеділок, вівторок, четвер з 8.00-17.00<br />Середа, п’ятниця з 8.00 до 20.00<br />Субота з 8.00 до 15.00<br />Неділя - вихідний</p>;Телефон:  (04740) 2-24-25
5;ЦНАП Золотоніської РДА;19700, Черкаська обл., м. Золотоноша, вул. Незалежності, 11;<p>Понеділок, середа з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця з 8.00 до 16.00<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон:  (04737) 5-26-65
6;ЦНАП Кам'янської РДА;20801, Черкаська обл. м.Кам’янка, вул. Героїв Майдану, 37;<p>Понеділок, середа з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця з 8.00 до 15.00<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (04732) 6-30-09
7;ЦНАП Канівської РДА;19003, Черкаська обл., м.Канів, вул. Леніна 36-А;<p>Понеділок, середа з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця з 8.00 до 16.00<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (04736) 3-53-00
8;ЦНАП Катеринопільської РДА;20500,Черкаська обл., смт Катеринопіль, вул. Канєвського,12;<p>Понеділок, середа, п'ятниця з 8.00 до 20.00<br />Вівторок, четвер з 8.00 до 17.15<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (04742) 2-26-01
9;ЦНАП Корсунь-Шевченківської РДА;19400, Черкаська обл., м.Корсунь-Шевченківський, вул. Червоноармійська, 9;<p>Понеділок, середа, п'ятниця з 8.00 до 16.00<br />Вівторок, четвер з 8.00 до 20.00<br />Субота з 9.00 до 13.00<br />Вихідний - Неділя</p>;Телефон: (04735) 2-03-15
10;ЦНАП Лисянської РДА;19300, Черкаська обл., смт Лисянка, пл. Миру, 27;<p>Понеділок, середа з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця з 8.00 до 16.00<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (04749) 6-20-60
11;ЦНАП Маньківської РДА;20100, Черкаська обл., смт Маньківка, вул. Леніна, 14;<p>Понеділок, середа, п'ятниця, субота з 8.00 до 15.00<br />Вівторок, четвер з 13.00 до 20.00<br />Вихідний - Неділя</p>;Телефон: (04748) 6-35-86
12;ЦНАП Монастирищенської РДА;19100, Черкаська обл., м. Монастирище, вул. Івана Богуна, 34;<p>понеділок, четвер з 08.00 до 20.00<br />Вівторок, середа, п’ятниця, субота з 08.00 до 16.00 <br />Вихідний - Неділя</p>;Телефон: (04746) 2-17-59
13;ЦНАП Смілянської РДА;20700, Черкаська обл. м.Сміла, вул. Леніна,37;<p>Понеділок, середа з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця, субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (04733) 4-30-82
14;ЦНАП Тальнівської РДА;20400, Черкаська обл., м. Тальне, вул.Соборна,  122а;<p>Понеділок, середа з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця з 8.00 до 16.00<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (04731) 3-04-91
15;ЦНАП Уманської РДА;20300, Черкаська обл., м. Умань, вул. Леніна, 8;<p>Понеділок, середа з 8.00 до 17.15<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця з 8.00 до 16.00<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (04744) 4-01-99
16;ЦНАП Христинівської РДА;20000, Черкаська обл., м. Христинівка, вул. Леніна,30;<p>Понеділок, середа, п'ятниця з 8.00 до 18.00<br />Вівторок, четвер з 8.00 до 20.00<br />Субота з 8.00 до 14.00<br />Вихідний - Неділя</p>;Телефон: (04735) 2-25-66
17;ЦНАП Черкаської РДА;18003, Черкаська обл., м.Черкаси, вул.В’ячеслава Чорновола, 157;<p>Понеділок-п'ятниця з 8.00 до 17.00<br />Вихідні - Субота, неділя</p>;Телефон: (0472) 64-74-68
18;ЦНАП Чигиринської РДА;20901, Черкаська обл., м. Чигирин, вул. Б. Хмельницького, 13а;<p>Понеділок, середа з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця, субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (04730) 2-86-35
19;ЦНАП Чорнобаївської РДА;19900, Черкаська обл., смт Чорнобай, вул.Леніна, 152;<p>Понеділок, середа з 8.00 до 17.15<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця з 8.00 до 16.00<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (04739) 2-32-29
20;ЦНАП Шполянської РДА;206003, Черкаська обл., м.Шпола, вул. Пролетарська, 60;<p>Понеділок, середа з 8.00 до 17.15<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця з 8.00 до 16.00<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (04741) 5-20-78
21;ЦНАП Черкаської міськради;18007, Черкаська область, м. Черкаси, вул. Благовісна,170;<p>Понеділок, середа, п'ятниця з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (472) 33-07-01
22;ЦНАП Смілянської міськради;20700, Черкаська обл., м.Сміла, вул.Леніна, 37;<p>Понеділок, середа, п'ятниця з 8.00 до 17.15<br />Вівторок, четвер з 8.00 до 20.00<br />Субота з 8.00 до 16.00<br />Вихідний - Неділя</p>;Телефон: (4733) 4-23-73
23;ЦНАП Золотоніської міськради;19700, Черкаська обл., м.Золотоноша, вул. Садовий проїзд, 3;<p>Понеділок, середа з 8.00 до 17.15<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця з 8.00 до 16.00<br />Субота з 9.00 до 13.00<br />Вихідний - Неділя</p>;Телефон: (4737) 5-26-68
24;ЦНАП Уманської міськради;20300, Черкаська обл., м. Умань, вул. Горького, 32/6.;<p>Понеділок, середа з 8.00 до 17.15<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця з 8.00 до 16.00<br />Субота з 8.00 до 16.15<br />Вихідний - Неділя</p>;Телефон: (04744) 3-80-37
25;ЦНАП Ватутинської міськради;20250, Черкаська обл., м.Ватутіне, пр-кт Дружби,8;<p>Понеділок, четвер, п'ятниця з 8.00 до 17.15<br />Вівторок, середа з 8.00 до 20.00<br />Субота з 8.00 до 15.30<br />Вихідний - Неділя</p>;Телефон: (04740) 6-22-55 факс: 6-23-42
