sID;CNAP Name(2);CNAP Address(3);WorkTime(4);break(5);phone(6);mail(7)
1;ЦНАП Бережанської РДА;47501, Тернопільська обл., м. Бережани, вул. Шевченка, 15;понеділок, середа: 09.00-17.15,<br /> вівторок, четвер: 09.00-20.00,<br /> п'ятниця: 09.00-16.00,<br /> субота: 08.00-15.00;Без перерви на обід;тел;vidil_rda756@ukr.net
2;Відділ-ЦНАП Борщівської РДА;48702, Тернопільська обл., м. Борщів, вул. Шевченка, 20А;понеділок, середа, п'ятниця, субота: 09.00-15.00,<br /> вівторок, четвер: 11.00-20.00,<br />;Без перерви на обід;тел;znap_borshchiv@ukr.net 
3;ЦНАП Бучацької РДА;47501, Тернопільська обл., м. Бучач, вул. Майдан Волі, 1;понеділок, середа, п'ятниця: 08.00-17.15,<br /> вівторок, четвер: 08.00-20.00,<br /> субота: 09.00-15.00;Без перерви на обід;тел;cnap-buch@ukr.net
4;ЦНАП Гусятинської РДА;48201,Тернопільська область, смт. Гусятин, вул. Незалежності, 12;понеділок, вівторок, субота: 08.00-17.15,<br /> середа, четвер: 08.00-20.00,<br /> п'ятниця: 08.00-16.00;Без перерви на обід;тел;cnap_gus@ukr.net
5;ЦНАП Заліщицької РДА;48601, Тернопільська обл., м. Заліщики, вул. С. Бандери, 15 б;понеділок, середа, п'ятниця: 09.00-17.15,<br /> вівторок, четвер: 09.00-20.00,<br /> субота: 09.00-15.00;Без перерви на обід;тел;zalcnap@ukr.net
6;ЦНАП Збаразької РДА;47302, Тернопільська обл., м. Збараж, майдан І.Франка, 1;понеділок, субота: 09.00-16.00,<br /> вівторок, четвер: 09.00-17.30,<br /> середа, п'ятниця: 12.00-20.00;Без перерви на обід;тел;tsnap@zbarazh-rda.gov.ua
7;ЦНАП Зборівської РДА;47201, Тернопільська обл., м. Зборів, вул. Б. Хмельницького, 24;понеділок, середа: 08.00-17.15,<br /> вівторок, четвер: 08.00-20.00,<br /> п'ятниця: 08.00-16.00,<br /> субота: 08.00-15.00;Без перерви на обід;тел;Doz_ofis@ukr.net
8;ЦНАП Козівської РДА;47600, Тернопільська обл., смт. Козова, вул. Грушевського, 38;понеділок, середа, п'ятниця: 09.00-16.00,<br /> вівторок, четвер: 11.00-20.00,<br /> субота: 08.00-15.00;Без перерви на обід;тел;zinazin@ukr.net
9;ВНАП Кременецької РДА;47003, Тернопільська обл., м. Кременець, вул. Шевченка, 56;понеділок, середа, п'ятниця: 08.00-17.15,<br /> вівторок, четвер: 08.00-20.00,<br /> субота: 08.00-15.00;Без перерви на обід;тел;vnap.kremenets@gmail.com
10;ЦНАП Лановецької РДА;47400, Тернопільська обл., м. Ланівці, вул. Незалежності, 19;понеділок-середа: 09.00-16.00,<br /> четвер, п'ятниця: 11.00-20.00,<br /> субота: 08.00-15.00;Без перерви на обід;тел;lan.cnap@ukr.net
11;Монастириський ЦНАП-сектор управління економічного розвитку РДА;48300, Тернопільська обл., м. Монастириська, вул. Сагайдачного, 3;понеділок, середа, п'ятниця: 09.00-17.00,<br /> вівторок, четвер: 09.00-20.00,<br /> субота: 09.00-15.00;Без перерви на обід;тел;mon.cnap@gmail.com
12;ВНАП Підволочиської РДА;47800, Тернопільська область, смт. Підволочиськ, вул І. Франка, 8б;понеділок, вівторок: 08.00-16.00,<br /> середа, четвер: 11.00-20.00,<br /> п'ятниця, субота: 08.00-15.00;Без перерви на обід;тел;Vnap_pidv@ukr.net
13;ЦНАП Підгаєцької РДА;48000, Тернопільська обл., м. Підгайці, вул. Шевченка, 39а;понеділок, п'ятниця: 08.00-17.15,<br /> вівторок, четвер: 08.00-20.00,<br /> субота: 08.00-16.00;Без перерви на обід;тел;adamiw1988@ukr.net
14;ЦНАП Теребовлянської РДА;48100, Тернопільська обл., м. Теребовля, вул. Князя Василька, 104А;понеділок-п'ятниця: 08.45-16.00,<br /> субота: 09.00-14.00;Без перерви на обід;тел;Cnap.trb@ukr.net
15;ЦНАП Тернопільської РДА;46010, м. Тернопіль, вул. Кривоноса, 10;понеділок-п'ятниця: 08.00-17.15;Без перерви на обід;(0352) 43-24-62;edv.rda@gmail.com
16;ЦНАП Чортківської РДА;48500, Тернопільська обл., м. Чортків, вул. Шевченка, 23;понеділок, середа, п'ятниця: 08.00-17.15,<br /> вівторок, четвер: 08.00-20.00,<br /> субота: 08.00-16.00;Без перерви на обід;тел;cnap_chortkiv@ukr.net
17;ВНАП Шумської РДА;47100, Тернопільська обл., м. Шумськ, вул. Українська, 59;понеділок, середа, п'ятниця: 08.00-17.00,<br /> вівторок, четвер: 08.00-20.00,<br /> субота: 08.00-15.00;Без перерви на обід;тел;cnup_shumsk@ukr.net
18;ЦНАП м. Тернопіль;м. Тернопіль, вул. Князя Острозького, 6, 1 поверх, зал №3;понеділок, середа: 09.00-16.00,<br /> вівторок, четвер: 11.00-16.00,<br /> п'ятниця: 09.00-13.00;Без перерви на обід;40-41-93;cnapzal3@ukr.net
19;ЦНАП м. Чортків;48501, Тернопільська обл., м.Чортків, вул. Тараса Шевченка, 21;понеділок, середа: 08.00-17.15,<br /> вівторок, четвер: 08.00-20.00,<br /> п'ятниця: 08.00-16.00,<br /> субота: 08.00-15.00;Без перерви на обід;тел;shymkiv_cnap_cor@ukr.net
