sID(1);CNAP Name(2);CNAP Address(3);WorkTime(4);phone(5)
1;ЦНАП Андрушівської РДА;13401, Житомирська область, м.Андрушівка, вул.Зазулінського, 5;<p>Понеділок, середа, п'ятниця з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя<br />Без перерви на обід</p>;Телефон: (04136) 2-10-48 
2;ЦНАП Баранівської РДА;12700, Житомирська область,  м.Баранівка, вул.Леніна, 12, І-й поверх;<p>Понеділок, середа, п'ятниця з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя<br />Без перерви на обід</p>;Телефон: (04144) 4-21-24 
3;ЦНАП Бердичівської РДА;13300, Житомирська область,  м. Бердичів, пл. Соборна, 23, каб. 11;<p>Понеділок, середа, субота з 8.00 до 15.00<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця з 8.00 до 14.00<br />Вихідний - Неділя<br />Без перерви на обід</p>;Телефон: (04143) 2-13-81 
4;ЦНАП Брусилівської РДА;12601, Житомирська область,  смт. Брусилів, вул. Короленка, 2;<p>Понеділок, вівторок, середа, четвер з 8.45 до 18.00<br />П'ятниця з 8.45 до 16.45<br />Перерва з 13:00 до 14:00<br />Субота, неділя - вихідний</p>;Телефон: (04162) 3-02-87
5;ЦНАП Володарсько-Волинської РДА;12101, Житомирська область, смт. Володарськ-Волинський, вул. Карла Маркса, 8;<p>Понеділок, середа, п'ятниця, субота з 8.00 до 15.00<br />Вівторок, четвер з 8.00 до 20.00<br />Вихідний - Неділя<br />Без перерви на обід</p>;Телефон: (04145)3-24-67 
6;ЦНАП Романівської РДА;13001, Житомирська область, смт Романів, вул. Путіліна, 47;<p>Понеділок, середа, п'ятниця, субота з 8.00 до 15.00<br />Вівторок, четвер з 8.00 до 20.00<br />Вихідний - Неділя<br />Без перерви на обід</p>;Телефон: (04149) 2-11-15
7;ЦНАП Ємільчинської РДА;11201, Житомирська область, смт Ємільчине, вул. Леніна 18;<p>Понеділок, середа, п'ятниця з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя<br />Без перерви на обід</p>;Телефон: (0412) 47-06-15, 47-46-69, 47-46-68 
8;ЦНАП Житомирської РДА;10003, м.Житомир, вул. Л. Українки, 1;<p>Понеділок, середа, п'ятниця, субота з 8.00 до 15.00<br />Вівторок, четвер з 13.00 до 20.00<br />Вихідний - Неділя<br />Без перерви на обід</p>;Телефон: (04142) 5-01-46
9;ЦНАП Коростенської РДА;11500, Житомирська обл., м. Коростень. Вул. Грушевського 60;<p>Понеділок, середа, п'ятниця, субота з 8.00 до 15.00<br />Вівторок, четвер з 9.00 до 20.00<br />Вихідний - Неділя<br />Без перерви на обід</p>;Телефон: (04130) 5-32-37 
10;ЦНАП Коростишівської РДА;12501, Житомирська область, м. Коростишів, вул. Карла Лібкнехта, 18;<p>Понеділок, середа, п'ятниця з 9.00 до 17.00<br />Вівторок, четвер з 9.00 до 20.00<br />Субота з 9.00 до 15.00<br />Вихідний - Неділя<br />Без перерви на обід</p>;Телефон: (04161) 9-12-70 
11;ЦНАП Лугинської РДА;11300, Житомирська область, смт Лугини, вул. Карла Маркса, 4;<p>Понеділок, середа, п'ятниця, субота з 8.00 до 15.00<br />Вівторок, четвер з 8.00 до 20.00<br />Вихідний - Неділя<br />Без перерви на обід</p>;Телефон: (04147) 2-21-30
12;ЦНАП Любарської РДА;Житомирська область, Любарський район, смт Любар, вул. Леніна, 39;<p>Понеділок, середа з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця з 8.00 до 16.00<br />Субота з 9.00 до 15.00<br />Вихідний - Неділя<br />Без перерви на обід</p>;Телефон: (04133) 51210 
13;ЦНАП Малинської РДА;11600, Житомирська область, м.Малин, площа Соборна, 6а;<p>Понеділок, середа з 8.00 до 17.15<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця з 8.00 до 16.00<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя<br />Без перерви на обід</p>;Телефон: (04140) 21015
