nID;sName;sDate;sDuration;sData;nID_Flow_ServiceData
1;Test Flow Slot Name 1;2015-07-19T15:00:00;PT15M;NULL;1
2;Test Flow Slot Name 2;2015-07-20T15:00:00;PT15M;NULL;1
3;Test Flow Slot Name 3;2015-07-20T15:15:00;PT15M;NULL;1
4;Test Flow Slot2 Name 1;2015-07-19T15:00:00;PT15M;NULL;2
5;Test Flow Slot2 Name 2;2015-07-20T15:00:00;PT15M;NULL;2
6;Test Flow Slot2 Name 3;2015-07-20T15:15:00;PT15M;NULL;2
7;Test Flow Slot2 Name 4;2015-07-20T15:45:00;PT15M;NULL;2
8;Test Flow Slot2 Name 5;2015-07-20T16:00:00;PT15M;NULL;2
9;Test Flow Slot2 Name 6;2015-07-21T15:15:00;PT15M;NULL;2
10;Test Flow Slot2 Name 7;2015-07-21T15:30:00;PT15M;NULL;2
11;Test Flow Slot2 Name 8;2015-07-22T15:00:00;PT15M;NULL;2
12;Test Flow Slot20 Name 9;2015-07-22T15:15:00;PT15M;NULL;2
13;Test Flow Slot2 Name 10;2015-07-22T15:30:00;PT15M;NULL;2
14;Test Flow Slot2 Name 11;2015-07-22T15:45:00;PT15M;NULL;2
15;Test Flow Slot2 Name 12;2015-07-23T15:14:00;PT15M;NULL;2
