nID;sName;nID_Region;sID_UA
1;Дніпропетровськ;1;1210100000
2;Кривий Ріг;1;1211000000
3;Львів;2;4610100000
4;Івано-Франківськ;3;2610100000
5;Калуш;3;2610400000
6;Київ;5;8000000000
7;Херсон;6;6510100000
8;Кузнецовськ;7;5610700000
9;Луцьк;8;710100000
10;Тернопіль;9;6110100000
11;Харків;24;6310100000
12;Одеса;21;5110100000
13;Донецьк;12;1410100000
14;Запоріжжя;15;2310100000
15;Миколаїв;20;4810100000
16;Маріуполь;12;1412300000
17;Луганськ;18;4410100000
18;Макіївка;12;1413500000
19;Вінниця;11;510100000
20;Сімферополь;10;110100000
21;Полтава;22;5310100000
22;Чернігів;28;7410100000
23;Черкаси;26;7110100000
24;Суми;23;5910100000
25;Горлівка;12;1410600000
26;Хмельницький;25;6810100000
27;Житомир;13;1810100000
28;Дніпродзержинськ;1;1210400000
29;Кіровоград;17;3510100000
30;Рівне;7;5610100000
31;Чернівці;27;7310100000
32;Кременчук;22;5310400000
33;Біла Церква;16;3210300000
34;Краматорськ;12;1412900000
35;Мелітополь;15;2310700000
36;Керч;10;111200000
37;Нікополь;1;1211600000
38;Слов'янськ;12;1414100000
39;Бердянськ;15;2310400000
40;Сєвєродонецьк;18;4412900000
41;Алчевськ;18;4411200000
42;Павлоград;1;1212400000
43;Ужгород;14;2110100000
44;Лисичанськ;18;4411800000
45;Євпаторія;10;110900000
46;Єнакієве;12;1412000000
47;Кам'янець-Подільський;25;6810400000
48;Костянтинівка;12;1412600000
49;Красний Луч;18;4411600000
50;Олександрія;17;3520300000
51;Конотоп;23;5910400000
52;Стаханов;18;4413100000
53;Умань;26;7110800000
54;Бердичів;13;1810400000
55;Шостка;23;5911000000
56;Бровари;16;3210600000
57;Ізмаїл;21;5110600000
58;Артемівськ;12;1410300000
59;Мукачеве;14;2110400000
60;Ялта;10;111900000
61;Дрогобич;2;4610600000
62;Ніжин;28;7410400000
63;Феодосія;10;111600000
64;Свердловськ;18;4412700000
65;Новомосковськ;1;1211900000
66;Торез;12;1414700000
67;Червоноград;2;4611800000
68;Первомайськ;20;4412100000
69;Сміла;26;7110500000
70;Красноармійськ;12;1413200000
71;Коростень;13;1810700000
72;Ковель;8;710400000
73;Рубіжне;18;4412500000
74;Прилуки;28;7410700000
75;Дружківка;12;1411700000
76;Харцизьк;12;1415000000
77;Лозова;24;6311000000
78;Антрацит;18;4410300000
79;Стрий;2;4611200000
80;Коломия;3;2610600000
81;Шахтарськ;12;1415300000
82;Сніжне;12;1414400000
83;Новоград-Волинський;13;1811000000
84;Енергодар;15;2312500000
85;Ізюм;24;6310400000
86;Димитров;12;1411300000
87;Брянка;18;4410500000
88;Іллічівськ;21;5110800000
89;Бориспіль;16;3210500000
90;Нововолинськ;8;710700000
91;Ровеньки;18;4412300000
92;Жовті Води;1;1210700000
93;Лубни;22;5310700000
94;Нова Каховка;6;6510700000
95;Фастів;16;3211200000
96;Білгород-Дністровський;21;5110300000
97;Комсомольськ;22;5310200000
98;Краснодон;18;4411400000
99;Ромни;23;5910700000
100;Охтирка;23;5910200000
101;Світловодськ;17;3510900000
102;Марганець;1;1211300000
103;Шепетівка;25;6810700000
104;Орджонікідзе;1;1212100000
105;Дзержинськ;12;1411200000
106;Джанкой;10;110600000
107;Первомайськ;18;4810400000
108;Миргород;22;5310900000
109;Вознесенськ;20;4810200000
110;Котовськ;21;5111200000
111;Ірпінь;16;3210900000
112;Васильків;16;3210700000
113;Дубно;7;5610300000
114;Володимир-Волинський;8;710200000
115;Каховка;6;6510400000
116;Южноукраїнськ;20;4810800000
117;Борислав;2;4610300000
118;Ясинувата;12;1415500000
119;Жмеринка;11;510300000
120;Авдіївка;12;1410200000
121;Чугуїв;24;6312000000
122;Самбір;2;4610900000
123;Токмак;15;2311000000
124;Боярка;16;3222410300
125;Глухів;23;5910300000
126;Добропілля;12;1411500000
127;Старокостянтинів;25;6810800000
128;Кіровськ;18;1423055700
129;Вишневе;16;3222410600
130;Нетішин;25;6810500000
131;Славута;25;6810600000
132;Могилів-Подільський;11;510400000
133;Обухів;16;3211600000
134;Первомайський;24;6311500000
135;Куп'янськ;24;6310700000
136;Балаклія;24;6320210100
137;Синельникове;1;1213000000
138;Переяслав-Хмельницький;16;3211000000
139;Алушта;10;110300000
140;Трускавець;2;4611500000
141;Красноперекопськ;10;111300000
142;Кіровське;12;121655100
143;Костопіль;7;5623410100
144;Дебальцеве;12;1410900000
145;Перевальськ;18;4423610100
146;Саки;10;111400000
147;Знам'янка;17;3510600000
148;Тернівка;1;1213500000
149;Першотравенськ;1;1212600000
150;Хуст;14;2110800000
151;Чортків;9;6110300000
152;Лебедин;23;5910500000
153;Золотоноша;26;7110400000
154;Буча;16;3210800000
155;Новий Розділ;2;4610800000
156;Красний Лиман;12;1413300000
157;Сарни;7;5625410100
158;Малин;13;1810900000
159;Хмільник;11;510900000
160;Бахчисарай;10;120410100
161;Селидове;12;1413800000
162;Берегове;14;2110200000
163;Канів;26;7110300000
164;Козятин;11;510500000
165;Новояворівськ;2;4625810500
166;Коростишів;13;1822510100
167;Попасна;18;4423810100
168;Виноградів;14;2121210100
169;Гайсин;11;520810100
170;Молодогвардійськ;18;4411470400
171;Кролевець;23;5922610100
172;Мерефа;24;6325110700
173;Волноваха;12;1421510100
174;Здолбунів;7;5622610100
175;Кремінна;18;4421610100
176;Славутич;16;3211500000
177;Докучаєвськ;12;1411600000
178;Люботин;24;6311200000
179;Цюрупинськ;6;6525010100
180;Южне;21;5111700000
181;Армянськ;10;111500000
182;Вільногірськ;1;1210200000
183;Яготин;16;3225510100
184;Суходільськ;18;4411470700
185;Золочів;2;6322655100
186;Тростянець;23;5925010100
187;Броди;2;4620310100
188;Полонне;25;6823610100
189;Вишгород;16;3221810100
190;Гадяч;22;5320410100
191;Красноград;24;6323310100
192;Кілія;21;5122310100
193;Старобільськ;18;4425110100
194;Ладижин;11;510600000
195;Пологи;15;2324210100
196;Амвросіївка;12;1420610100
197;Кременець;9;6123410100
198;Генічеськ;6;6522110100
199;Сокаль;2;4624810100
200;Курахове;12;1423310600
201;Дніпрорудне;15;2320910400
202;Волочиськ;25;6820910100
203;Надвірна;3;2624010100
204;Долина;3;2622010100
205;Стебник;2;4610670500
206;Вовчанськ;24;6321610100
207;Красилів;25;6822710100
208;П'ятихатки;1;1224510100
209;Рені;21;5124110100
210;Бахмач;28;7420310100
211;Дергачі;24;6322010100
212;Ватутіне;26;7110200000
213;Калинівка;11;521610100
214;Балта;21;5120610100
215;Звенигородка;26;7121210100
216;Зугрес;12;1415070500
217;Скадовськ;6;6524710100
218;Сватове;18;4424010100
219;Шпола;26;7125710100
220;Новоукраїнка;17;3524010100
221;Корсунь-Шевченківський;26;7122510100
222;Лутугине;18;4422210100
223;Білогірськ;10;120710100
224;Долинська;17;3521910100
225;Ізяслав;25;6822110100
226;Білопілля;23;5920610100
227;Богодухів;24;6320810100
228;Сквира;16;3224010100
229;Карлівка;22;5321610100
230;Оріхів;15;2323910100
231;Білозерське;12;1411570500
232;Золоте;18;4423810800
233;Юнокомунарівськ;12;1412070700
234;Підгородне;1;1221411000
235;Роздільна;21;5123910100
236;Городок;25;4620910100
237;Червонопартизанськ;18;4412770600
238;Іловайськ;12;1415070800
239;Бережани;9;6120410100
240;Новогродівка;12;1413600000
241;Вугледар;12;1414800000
242;Березань;16;3210400000
243;Путивль;23;5923810100
244;Болград;21;5121410100
245;Бар;11;520210100
246;Свалява;14;2124010100
247;Богуслав;16;3220610100
248;Гуляйполе;15;2321810100
249;Зміїв;24;6321710100
250;Овруч;13;1824210100
251;Верхньодніпровськ;1;1221010100
252;Очаків;20;4810300000
253;Красногорівка;12;1423310400
254;Ківерці;8;721810100
255;Пирятин;22;5323810100
256;Миколаївка;12;5123555100
257;Часів Яр;12;1410370600
258;Вільнянськ;15;2321510100
259;Дунаївці;25;6821810100
260;Апостолове;1;1220310100
261;Тальне;26;7124010100
262;Арциз;21;5120410100
263;Новий Буг;20;4824510100
264;Тульчин;11;524310100
265;Гайворон;17;3521110100
266;Городок;2;4620910100
267;Гола Пристань;6;6510300000
268;Носівка;28;7423810100
269;Жашків;26;7120910100
270;Городище;26;7120310100
271;Василівка;15;2320910100
272;Кам'янка-Дніпровська;15;2322410100
273;Петровське;18;4411670900
274;Берислав;6;6520610100
275;Снігурівка;20;4825710100
276;Радомишль;13;1825010100
277;Бурштин;3;2610300000
278;Рахів;14;2123610100
279;Новгород-Сіверський;28;7410500000
280;Кам'янка;26;7121810100
281;Тетіїв;16;3224610100
282;Миколаїв;2;4810100000
283;Острог;7;5610900000
284;Зеленодольськ;1;1220310300
285;Вахрушеве;18;4411670300
286;Хорол;22;5324810100
287;Сторожинець;27;7324510100
288;Судак;10;111700000
289;Сіверськ;12;1420910400
290;Корюківка;28;7422410100
291;Біляївка;21;5121010100
292;Гірник;12;4611845300
293;Українка;16;3223110500
294;Нова Одеса;20;4824810100
295;Городня;28;421410100
296;Щастя;18;4423110100
297;Кагарлик;16;3222210100
298;Жданівка;12;1412100000
299;Березне;7;5620410100
300;Теребовля;9;6125010100
301;Винники;2;4610160300
302;Рожище;8;724510100
303;Яворів;2;4625810100
304;Жовква;2;4622710100
305;Тараща;16;3224410100
306;Миронівка;16;3222910100
307;Бершадь;11;520410100
