nID;sName;sID_UA
1;Дніпропетровська;NULL
2;Львівська;NULL
3;Івано-Франківська;NULL
5;Київ;NULL
6;Херсонська;NULL
7;Рівненська;NULL
8;Волинська;NULL
9;Тернопільська;NULL
10;Автономна Республіка Крим;NULL
11;Вінницька;NULL
12;Донецька;NULL
13;Житомирська;NULL
14;Закарпатська;NULL
15;Запорізька;NULL
16;Київська;NULL
17;Кіровоградська;NULL
18;Луганська;NULL
19;м. Севастополь, міськрада;NULL
20;Миколаївська;NULL
21;Одеська;NULL
22;Полтавська;NULL
23;Сумська;NULL
24;Харківська;NULL
25;Хмельницька;NULL
26;Черкаська;NULL
27;Чернівецька;NULL
28;Чернігівська;NULL
