nID;sName;nOrder;nID_Subcategory;sInfo;sFAQ;sLaw;nOpenedLimit;sSubjectOperatorName
1;Надання довідки про притягнення до кримінальної відповідальності, відсутність (наявність) судимості або обмежень, передбачених кримінально-процесуальним законодавством України;100;3;[*];;;0;Міністерство внутрішніх справ
2;Видача картки обліку об’єкта торговельного призначення, сфери послуг та з виробництва продуктів харчування;100;7;;;;0;Міська рада
3;Легалізація об’єднань громадян шляхом повідомлення;100;6;;;;0;Реєстраційна служба управління юстиції
4;Видача копій, витягів з розпоряджень міського голови, рішень, прийнятих міською радою та виконавчим комітетом;3;2;;;;0;Міська рада
5;Надання дозволу на використання місцевої символіки (герба міста, назви чи зображення архітектурних, історичних пам’яток);100;11;[*];;;0;Міська рада
6;Надання обмежень на використання садибної земельної ділянки;100;1;;;;0;Міська рада
7;Дозвіл на рекламний носій ;100;7;;;;0;Міська рада
9;Надання довідки про перебування на обліку бажаючих отримати земельну ділянку під індивідуальне будівництво;100;1;;;;0;Міська рада
10;Надання витягу з технічної документації про нормативну грошову оцінку земельної ділянки;100;1;;;;0;Державна служба з питань геодезії, картографії та кадастру
12;Присвоєння поштової адреси об’єкту нерухомого майна;100;1;;;;0;Міська рада
14;Видача завірених копій документів;100;16;;;;0;Державна фіскальна служба
15;Дозвіл на розміщення зовнішньої реклами;100;7;[*];;;0;Міська рада
16;Отримання дозволу на МАФ;100;7;;;;0;Міська рада
17;Взяття на облік громадян, які потребують поліпшення житлових умов;100;1;;;;0;Міська рада
18;Взяття на соціальний квартирний облік;100;1;;;;0;Міська рада
19;Надання дозволу на переоформлення договору найму жилого приміщення державного / комунального житлового фонду;100;1;;;;0;Міська рада
20;Реєстрація громадського об’єднання;100;6;[*];;;0;Реєстраційна служба управління юстиції
21;Отримання інформації про призначення субсидії на оплату житлово-комунальних послуг;100;22;;;;0;Міська рада
22;Надання відповідей на листи підприємств, установ та організацій (облдержадміністрація);100;2;;;;0;Обласна державна адміністрація
23;Надання довідок незайнятому населенню про відсутність земельних ділянок для ведення ОСГ;100;1;[*];;;0;Виконавчий комітет міської ради
24;Видача довідки про реєстрацію місця проживання/перебування особи;100;4;;;;0;Державна міграційна служба
25;Вклеювання до паспорта громадянина фотокартки при досягненні 25- і 45-річного віку;9;4;[*];;;0;Державна міграційна служба
26;Зняття з реєстрації місця проживання;4;4;[*];;;0;Державна міграційна служба
27;Дозвіл на розроблення проекту землеустрою щодо відведення земельної ділянки;100;1;[*];;;0;Міська рада
28;Оформлення та видача паспорта громадянина по досягненні 16-річного віку;8;4;[*];;;0;Державна міграційна служба
29;Реєстрація місця проживання особи (із опцією одночасного зняття з реєстрації з попереднього місця);3;4;[*];;;0;Державна міграційна служба
30;Взяття на облік безхазяйного нерухомого майна;100;7;;;;0;Реєстраційна служба управління юстиції
31;Внесення запису про скасування державної реєстрації прав;100;1;;;;0;Реєстраційна служба управління юстиції
32;Державна реєстрація іншого речового права на нерухоме майно, обтяження права на нерухоме майно;100;1;;;;0;Реєстраційна служба управління юстиції
33;Державна реєстрація права власності на нерухоме майно;100;1;;;;0;Реєстраційна служба управління юстиції
