nID;nID_Service;nID_Place;nID_City;nID_Region;nID_ServiceType;oData;sURL;bHidden;nID_Subject_Operator;bTest;sNote;asAuth;nID_Server
1;1;2;2;NULL;1;{};https://null.igov.org.ua;false;1;true;Перейдя на этот сайт Вы сможете получить услугу;BankID,EDS,KK;0
2;1;50002;NULL;2;3;;https://lviv.igov.org.ua;true;1;true;;BankID,EDS;0
3;2;1;1;NULL;4;{"processDefinitionId":"CivilCardAccountlRequest:4:12564"};;false;1;true;;BankID,EDS,KK;0
4;659;115;115;NULL;4;{"processDefinitionId":"kuznetsovsk_mvk_2:1:1"};;false;212;true;;BankID,EDS;0
5;4;1;1;NULL;4;{"processDefinitionId":"CivilCopyDocRequest:4:12565"};;true;1;true;;BankID,EDS;0
6;628;50006;NULL;6;4;{"processDefinitionId":"ternopil_obl_284:1:1"};;false;231;true;;BankID,EDS;0
7;6;4;4;NULL;4;{"processDefinitionId":"ivFrank_mvk_2:4:12566"};;false;1;true;;BankID,EDS;0
8;4;4;4;NULL;4;{"processDefinitionId":"ivFrank_mvk_1:4:12556"};;true;1;true;;BankID,EDS;0
9;4;71;71;NULL;4;{"processDefinitionId":"cnap_293:1:1"};;false;225;true;;BankID,EDS;0
10;4;143;143;NULL;4;{"processDefinitionId":"cnap_293:1:1"};;false;212;false;;BankID,EDS;0
11;99;102;102;NULL;4;{"processDefinitionId":"dnepr_cnap_231:1:1"};;false;225;true;;BankID,EDS;0
12;101;NULL;NULL;NULL;1;{};http://map.land.gov.ua/kadastrova-karta;false;1;false;Ви можете отримати послугу на сайті Публічної кадастрової карти України;BankID,EDS;0
13;12;50005;6;NULL;4;{"processDefinitionId":"kiev_mda_1:4:12570"};;false;1;true;;BankID,EDS;2
14;627;3;3;NULL;4;{"processDefinitionId":"demo6:1:60057"};;true;1;true;;BankID,EDS;0
15;14;3;3;NULL;4;{"processDefinitionId":"demo7:1:60063"};;true;1;true;;BankID,EDS;0
16;15;3;3;NULL;4;{"processDefinitionId":"demo8:4:12553"};;true;1;true;;BankID,EDS;0
17;16;3;3;NULL;4;{"processDefinitionId":"demo9:4:12551"};;true;1;true;;BankID,EDS;0
18;17;282;15;NULL;4;{"processDefinitionId":"nikolaev_oda_2:4:12567"};;false;1;false;;BankID,EDS;0
19;18;282;15;NULL;4;{"processDefinitionId":"nikolaev_oda_3:4:12552"};;false;1;true;;BankID,EDS;0
20;19;282;15;NULL;4;{"processDefinitionId":"nikolaev_oda_4:4:12558"};;false;1;true;;BankID,EDS;0
21;20;282;15;NULL;4;{"processDefinitionId":"nikolaev_oda_1:4:12549"};;false;1;true;;BankID,EDS;0
22;21;5;5;NULL;4;{"processDefinitionId":"demo2:1:60054"};;true;1;true;;BankID,EDS;0
23;21;50006;NULL;6;4;{"processDefinitionId":"demo11:4:12554"};;true;1;true;;BankID,EDS;0
24;22;50006;NULL;6;4;{"processDefinitionId":"demo10:4:12563"};;true;1;true;;BankID,EDS;0
25;23;8;8;NULL;4;{"processDefinitionId":"kuznetsovsk_mvk_1:4:12562"};;false;1;false;;BankID,EDS;0
26;99;37;37;NULL;4;{"processDefinitionId":"dnepr_cnap_231:1:1"};;false;225;false;;BankID,EDS;0
27;99;469;469;NULL;4;{"processDefinitionId":"dnepr_cnap_231:1:1"};;false;225;false;;BankID,EDS;0
28;99;67;67;NULL;4;{"processDefinitionId":"dnepr_cnap_231:1:1"};;false;225;true;;BankID,EDS;0
29;726;50005;6;NULL;4;{"processDefinitionId":"kiev_mreo_1:1:58"};;false;1;false;;BankID,EDS;0
30;99;182;182;NULL;4;{"processDefinitionId":"dnepr_cnap_231:1:1"};;false;225;false;;BankID,EDS;0
31;158;NULL;NULL;NULL;4;{"processDefinitionId":"CivilCardAccountlRequest:4:12564"};;true;1;true;;BankID,EDS;0
32;160;10;10;NULL;4;{"processDefinitionId":"ternopol_oda_1:1:1"};;false;1;false;;BankID,EDS;0
33;1;1;1;NULL;4;{"processDefinitionId":"dnepr_mvd_1:1:1"};;false;1;false;;BankID;0
34;161;50006;NULL;6;4;{"processDefinitionId":"herson_oda_1:1:1"};;false;1;false;;BankID,EDS;0
35;4;19;19;NULL;1;{};http://my.vmr.gov.ua;FALSE;1;FALSE;Замовити послугу можна на сайті Вінницької міськради після реєстрації в Персональному кабінеті;BankID,EDS;0
